0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1275,Marcus Araujo,Brazil,Male,M40-44,47,9:44:03,194,55:58,120,5:13:10,293,3:26:22,231,Finisher
1193,Marcus Vinicius Macedo Dos Santos,Brazil,Male,M40-44,48,9:44:13,195,58:03,197,4:57:22,98,3:42:08,476,Finisher
883,Bruno Couri,Brazil,Male,M35-39,55,9:44:16,196,59:21,248,5:16:41,362,3:19:09,170,Finisher
1235,Rafael Martendal,Brazil,Male,M40-44,49,9:44:37,197,55:25,103,5:11:16,263,3:30:20,277,Finisher
1537,Sergio Ayala,Argentina,Male,M45-49,21,9:45:02,198,1:00:55,353,5:16:38,358,3:20:07,177,Finisher
1965,Newton Braga Moura,Brazil,Male,M50-54,6,9:45:23,199,57:42,180,5:02:56,162,3:35:52,363,Finisher
650,Fernando Benedetti,Brazil,Male,M40-44,50,9:45:26,200,1:02:25,446,4:58:30,111,3:34:26,336,Finisher
760,Daniel Maia,Brazil,Male,M35-39,56,9:45:33,201,55:36,107,4:58:40,112,3:40:10,443,Finisher
714,Andrés Domingo Carné Cordero,Chile,Male,M35-39,57,9:45:44,202,1:00:03,301,5:04:43,185,3:28:37,257,Finisher
622,Leandro Gustavo Goulart Zani,Brazil,Male,M35-39,58,9:45:53,203,52:54,54,5:05:04,189,3:39:51,436,Finisher
2005,Paulo Cezar Da Costa Leite,Brazil,Male,M55-59,2,9:46:03,204,58:34,216,4:56:46,90,3:42:19,479,Finisher
1134,Caio Gurgel,Brazil,Male,M40-44,51,9:46:18,205,1:00:27,324,5:04:31,182,3:30:41,284,Finisher
860,William Barbosa Triaction,Brazil,Male,M35-39,59,9:46:29,206,55:08,93,5:04:49,187,3:38:16,414,Finisher
892,Bonieck Clemente,Brazil,Male,M35-39,60,9:46:47,207,53:05,59,5:16:02,346,3:27:55,247,Finisher
788,Andres Braemer,Chile,Male,M35-39,61,9:46:49,208,1:00:13,312,5:08:11,226,3:27:40,244,Finisher
1894,Andre Coneglian Weyand,Brazil,Male,M50-54,7,9:46:54,209,56:27,135,4:49:24,38,3:47:03,552,Finisher
304,Mateus Paganella,Brazil,Male,M35-39,62,9:47:09,210,59:52,287,5:08:49,232,3:28:24,253,Finisher
162,Vinícius Bergstron Grego,Brazil,Male,M30-34,28,9:47:24,211,53:31,68,4:58:12,106,3:46:38,544,Finisher
278,Arnaldo Tomé De Souza Santos,Brazil,Male,M30-34,29,9:47:26,212,1:03:21,506,5:16:03,347,3:18:46,159,Finisher
712,Maximiliano Coltro,Argentina,Male,M35-39,63,9:47:35,213,1:08:38,823,5:20:38,433,3:09:26,75,Finisher
